项目编码,项目名称,合同金额,项目采购成本,盈利（元）
ISS24106-HB07,河北雄安新区中关村产业园B3栋南楼503营销中心新建项目,,,¥0.00
ISS24107-JN07,济南平安金融中心塔楼8层807房间智慧办公室装修项目,,,¥0.00
ISS24108-WX07,无锡滨湖旭天软件园A2楼3层南侧DOS审核业务场地改造," ¥ 24,644.65 ","¥23,180.19","¥1,464.46"
ISS24109-SY07,沈阳沈河区前海人寿金融中心21层CDS场地新建项目," ¥ 264,001.37 ","¥241,147.67","¥22,853.70"
ISS24110-XA07,西安高新区新加坡腾飞科汇城东楼22层MAG华为ICTT终端业务新建项目," ¥ 1,461,193.43 ","¥1,679,590.52","-¥218,397.09"
ISS24111-SZ07,深圳龙岗区金荣达6栋及2栋1层MAG华为业务ODC场地门禁改造项目," ¥ 136,576.33 ","¥148,154.35","-¥11,578.02"
ISS24112-WH07,武汉东湖高新区未来科技城F3栋4F、6F、8F监控系统升级改造项目,,,¥0.00
ISS24113-DG07,东莞松山湖中集智谷28栋3层MAG华为黄区ODC场地门禁改造项目," ¥ 41,866.65 ","¥45,760.00","-¥3,893.35"
ISS24114-SZ07,深圳龙岗天安云谷6栋26-27层MAG华为业务ODC场地门禁改造项目," ¥ 75,899.80 ","¥79,489.15","-¥3,589.35"
ISS24115-DG07,东莞松山湖光大WE谷B1栋5层6层MAG华为黄区ODC场地门禁改造项目," ¥ 55,591.31 ","¥61,282.79","-¥5,691.48"
ISS24116-SH07,上海虹口区友邦金融大厦26层2601室2608及2609室营销中心新建项目," ¥ 3,330,791.81 ","¥3,590,863.85","-¥260,072.04"
ISS24117-BJ07,北京海淀软通总部大楼1层ICP实验室空调系统升级改造项目," ¥ 35,941.78 ","¥34,190.47","¥1,751.31"
ISS24118-NJ07,南京雨花区怡化大厦B座3层307-309单元MAG华为业务场地新建项目," ¥ 756,523.21 ","¥824,962.56","-¥68,439.35"
ISS24119-SZ07,深圳交付中心新建设计项目,,,¥0.00
ISS24120-BJ07,北京海淀软通总部大楼1层展厅硬件展示区改造项目,,,¥0.00
ISS24121-XA07,西安浐灞区前海人寿大厦15层1501-1503单元BANK中行业务ODC场地扩建项目,,,¥0.00
ISS24122-HZ07,杭州慧港科技园A1栋5层6层MAG消费者场地空调系统改造项目," ¥ 96,913.38 ","¥95,490.83","¥1,422.55"
